pret,descriere_zona,an_constructie,compartimentare,confort,etaj,nr_balcoane,nr_bucatarii,nr_bai,nr_camere,nr_garaje,nr_locuri_parcare,regim_inaltime,str_rezistenta,supraf_utila,tip_imobil,zona,lat,long
136000,"Bucuresti, Sector 3, zona Decebal   610 m (8 minute)",2019.0,decomandat,lux,Etaj 5,1,1.0,2.0,3.0,0.0,,S+P+6E,beton,79.85,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
158500,"Bucuresti, Sector 3, zona Decebal",2019.0,decomandat,lux,Etaj 3,2,1.0,2.0,4.0,0.0,,S+P+3E,beton,119.8,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
112000,"Bucuresti, zona Decebal",1989.0,semidecomandat,1,Etaj 3,2,1.0,1.0,2.0,0.0,,P+4E,altele,57.0,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
127310,"Bucuresti, Sector 2, zona Decebal",2021.0,semidecomandat,1,Etaj 3,1,1.0,2.0,3.0,0.0,,S+P+5E,beton,84.2,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
199000,"Bucuresti, zona Decebal",2018.0,decomandat,1,Etaj 3,2,1.0,2.0,3.0,0.0,,P+6E,beton,111.89,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
85000,"Bucuresti, zona Decebal",2018.0,decomandat,1,Etaj 5,1,1.0,1.0,1.0,0.0,,P+6E,beton,47.19,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
167000,"Bucuresti, zona Decebal",2018.0,decomandat,1,Etaj 6,1,1.0,2.0,3.0,0.0,,P+6E,beton,95.61,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
119000,"Bucuresti, zona Decebal",2018.0,decomandat,1,Etaj 6,1,1.0,1.0,2.0,0.0,,P+6E,beton,67.2,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
239000,"Bucuresti, zona Decebal",2018.0,decomandat,1,Etaj 6,2,1.0,2.0,4.0,0.0,,P+6E,beton,137.57,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
114240,"Bucuresti, zona Decebal",2018.0,decomandat,1,Etaj 3,1,1.0,1.0,2.0,0.0,,P+6E,beton,67.2,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
119000,"Bucuresti, zona Decebal",2018.0,decomandat,lux,Etaj 5,1,1.0,2.0,2.0,0.0,,P+6E,beton,67.2,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
199000,"Bucuresti, zona Decebal",2018.0,decomandat,1,Etaj 6,1,1.0,2.0,3.0,0.0,,P+6E,beton,114.2,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
129000,"Bucuresti, Sector 3, zona Decebal   600 m (8 minute)",2019.0,decomandat,1,Parter,1,1.0,2.0,3.0,0.0,,D+P+3E,beton,85.0,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
99903,"Bucuresti, zona Decebal",2018.0,decomandat,1,Etaj 4,1,1.0,1.0,2.0,0.0,,P+6E,beton,50.72,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
133500,"Bucuresti, Sector 3, zona Decebal   500 m (6 minute)",2019.0,decomandat,1,Etaj 2,1,1.0,2.0,3.0,0.0,,P+5E,beton,80.0,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
99903,"Bucuresti, zona Decebal",2018.0,decomandat,1,Etaj 4,1,1.0,1.0,2.0,0.0,,P+6E,beton,50.72,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
199000,"Bucuresti, zona Decebal",2018.0,decomandat,1,Etaj 5,1,1.0,2.0,3.0,0.0,,P+6E,beton,114.2,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
233869,"Bucuresti, zona Decebal",2018.0,decomandat,lux,Etaj 3,1,1.0,2.0,4.0,0.0,,P+6E,beton,137.57,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
