pret,descriere_zona,an_constructie,compartimentare,confort,etaj,nr_balcoane,nr_bucatarii,nr_bai,nr_camere,nr_garaje,nr_locuri_parcare,regim_inaltime,str_rezistenta,supraf_constr,supraf_utila,supraf_utila_totala,tip_imobil,zona,lat,long
167000,"Bucuresti, zona Decebal",2018,decomandat,1,Etaj 6,1,1,2,3,,,P+6E,beton,114.25,95.61,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
119000,"Bucuresti, zona Decebal",2018,decomandat,1,Etaj 6,1,1,1,2,,,P+6E,beton,81.16,67.2,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
239000,"Bucuresti, zona Decebal",2018,decomandat,1,Etaj 6,2,1,2,4,,,P+6E,beton,168.16,137.57,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
114240,"Bucuresti, zona Decebal",2018,decomandat,1,Etaj 3,1,1,1,2,,,P+6E,beton,81.16,67.2,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
119000,"Bucuresti, zona Decebal",2018,decomandat,lux,Etaj 5,1,1,2,2,,,P+6E,beton,81.16,67.2,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
199000,"Bucuresti, zona Decebal",2018,decomandat,1,Etaj 6,1,1,2,3,,,P+6E,beton,140.91,114.2,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
129000,"Bucuresti, Sector 3, zona Decebal   600 m (8 minute)",2019,decomandat,1,Parter,1,1,2,3,,,D+P+3E,beton,100,85,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
99903,"Bucuresti, zona Decebal",2018,decomandat,1,Etaj 4,1,1,1,2,,,P+6E,beton,61.43,50.72,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
133500,"Bucuresti, Sector 3, zona Decebal   500 m (6 minute)",2019,decomandat,1,Etaj 2,1 (închise),1,2,3,,,P+5E,beton,98,80,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
99903,"Bucuresti, zona Decebal",2018,decomandat,1,Etaj 4,1,1,1,2,,,P+6E,beton,61.43,50.72,,bloc de apartamente,"Decebal, Bucuresti, Romania",44.428959000000006,26.13356
